date,USD,EUR,RUB
2014-03-12,9.3024969204,12.9326831008,0.2548231611
2014-03-13,9.2869996999,12.9388579845,0.2547318070
2014-03-14,9.4804996160,13.1953178200,0.2586449863
2014-03-15,9.4755001068,13.1795454609,0.2591075504
2014-03-16,9.4755001068,13.1851389505,0.2591075504
2014-03-17,9.6054996607,13.3803848522,0.2644238377
2014-03-18,9.7615003586,13.5762015394,0.2691517926
2014-03-19,10.1549997595,14.1286463593,0.2824803657
2014-03-20,10.3350093273,14.2430692178,0.2856308768
2014-03-21,10.5200004578,14.5044488568,0.2902067272
2014-03-22,10.5200004578,14.5111460739,0.2902468126
2014-03-23,10.5200004578,14.5111460739,0.2903470914
2014-03-24,10.6049995359,14.6199497007,0.2938893291
2014-03-25,10.9449996948,15.0809668132,0.3069175009
2014-03-26,11.1049995422,15.3091703056,0.3128982059
2014-03-27,11.0399975804,15.1796898604,0.3098530570
2014-03-28,11.0050000916,15.1442704027,0.3083906874
2014-03-29,11.0000000000,15.1283849761,0.3072300000
2014-03-30,11.0000000000,15.1282809459,0.3073312488
2014-03-31,10.9595003128,15.0960800989,0.3115531909
2014-04-01,11.0030002594,15.1889425668,0.3133728254
2014-04-02,11.3249975315,15.5785608348,0.3195606680
2014-04-03,11.2465000153,15.4133532384,0.3164797356
2014-04-04,11.6059999466,15.9030705263,0.3285445099
2014-04-05,11.6009998322,15.8953733819,0.3284823102
2014-04-06,11.6009998322,15.8973478402,0.3284823102
2014-04-07,11.6000083801,15.9452842129,0.3259902564
2014-04-08,11.7850062476,16.2670113253,0.3297891522
2014-04-09,11.8785998535,16.4095477074,0.3328791337
2014-04-10,11.8831981441,16.5073403449,0.3345654212
2014-04-11,11.8831981441,16.5141204779,0.3334030335
2014-04-12,11.8831981441,16.4990567580,0.3333831239
2014-04-13,11.8831981441,16.4990567580,0.3333831239
2014-04-14,11.8831981441,16.4272602155,0.3305366492
2014-04-15,13.0049970401,17.9563608273,0.3599194838
2014-04-16,13.0049970401,17.9728968547,0.3610134837
2014-04-17,13.0049970401,17.9868234451,0.3646219815
2014-04-18,11.2322997872,15.5164961448,0.3155527610
2014-04-19,11.2272996902,15.5105335225,0.3155432578
2014-04-20,11.2272996902,15.5105335225,0.3155432578
2014-04-21,11.2322998047,15.4883463194,0.3142853681
2014-04-22,11.2523994443,15.5319665983,0.3152296675
2014-04-23,11.5178003311,15.9104515221,0.3227243499
2014-04-24,11.3894996635,15.7482313455,0.3187427253
2014-04-25,11.3831997558,15.7499155390,0.3156119836
2014-04-26,11.3831996918,15.7470115258,0.3159976234
2014-04-27,11.3831996918,15.7477317806,0.3159976234
2014-04-28,11.3621997833,15.7298174113,0.3160786334
2014-04-29,11.3621997196,15.6886131891,0.3188473468
2014-04-30,11.4064994518,15.8204135206,0.3198566633
2014-05-01,11.4064975745,15.8172987674,0.3203019155
2014-05-02,11.4064998152,15.8124753509,0.3181671321
2014-05-03,11.4014997482,15.8177312147,0.3182998282
2014-05-04,11.4014997482,15.8188615138,0.3178738130
2014-05-05,11.4049996905,15.8325344365,0.3192659900
2014-05-06,11.4744969554,15.9788770352,0.3243893486
2014-05-07,11.6562996451,16.2224925440,0.3333186443
2014-05-08,11.5987993134,16.0802514505,0.3314212704
2014-05-09,11.5987997055,15.9630250891,0.3291029810
2014-05-10,11.5987966944,15.9617932657,0.3293709137
2014-05-11,11.5987966944,15.9617932657,0.3293478321
2014-05-12,11.6103979063,15.9749323515,0.3308609144
2014-05-13,11.6514997482,15.9733464502,0.3344358764
2014-05-14,11.7694967599,16.1459953846,0.3392997635
2014-05-15,11.6677945752,16.0004031395,0.3356862792
2014-05-16,11.7600002947,16.1193781116,0.3384114105
2014-05-17,11.7599977327,16.1041408951,0.3382984436
2014-05-18,11.7599977327,16.1036297981,0.3380999348
2014-05-19,11.7569999187,16.1266341737,0.3404819856
2014-05-20,11.7209934727,16.0543186574,0.3396417916
2014-05-21,11.7282104086,16.0174091657,0.3408110699
2014-05-22,11.7349996567,16.0197225805,0.3416857595
2014-05-23,11.7200998847,15.9706834268,0.3430918146
2014-05-24,11.7200978112,15.9784290435,0.3435186453
2014-05-25,11.7200978112,15.9721523253,0.3435160668
2014-05-26,11.7200924027,15.9977251065,0.3428597111
2014-05-27,11.7560997009,16.0116713985,0.3417717129
2014-05-28,11.7096996308,15.9202362134,0.3387673147
2014-05-29,11.7705001831,16.0184474309,0.3397077251
2014-05-30,11.7794600067,16.0681946495,0.3375205163
2014-05-31,11.7794967728,16.0595763928,0.3375920141
2014-06-01,11.7794967728,16.0595192475,0.3376003775
2014-06-02,11.8824980557,16.1660968715,0.3405018717
2014-06-03,11.8383000008,16.1272772641,0.3376786520
2014-06-04,11.8750967831,16.1722638121,0.3389717782
2014-06-05,11.7601041832,16.0131977522,0.3386572519
2014-06-06,11.8307999308,16.1367850896,0.3434928221
2014-06-07,11.8307968894,16.1401312261,0.3438621116
2014-06-08,11.8307968894,16.1401312261,0.3438621116
2014-06-09,11.8307952903,16.0754365228,0.3445884508
2014-06-10,11.8045000807,15.9887417651,0.3436502862
2014-06-11,11.6361970789,15.7453735001,0.3383046116
2014-06-12,11.6595000249,15.8046632401,0.3398755429
2014-06-13,11.7334975397,15.8675121709,0.3410222371
2014-06-14,11.7334975397,15.8853798422,0.3411366568
2014-06-15,11.7334975397,15.8868004717,0.3411514410
2014-06-16,11.7530001959,15.9580295508,0.3390646507
2014-06-17,11.7653999329,15.9333353137,0.3377452604
2014-06-18,11.8325004578,16.0512186921,0.3424660574
2014-06-19,11.8508001328,16.1408989474,0.3447116228
2014-06-20,11.8594999313,16.1124271598,0.3437847430
2014-06-21,11.8594981535,16.1278014449,0.3441226699
2014-06-22,11.8594981535,16.1267967446,0.3439254465
2014-06-23,11.8831981442,16.1521467271,0.3477196742
2014-06-24,11.8970429872,16.1664140717,0.3526084160
2014-06-25,11.8868975958,16.2105052162,0.3522218025
2014-06-26,11.8996974502,16.1968781821,0.3530398341
2014-06-27,11.8282975933,16.1227950400,0.3507607573
2014-06-28,11.8282975933,16.1444303162,0.3505262764
2014-06-29,11.8233003616,16.1372792139,0.3503926844
2014-06-30,11.8282999112,16.1916744417,0.3481204788
2014-07-01,11.7903669521,16.1295207973,0.3435388422
2014-07-02,11.8383978197,16.1674623728,0.3447698023
2014-07-03,11.8459972969,16.1206232271,0.3459281146
2014-07-04,11.8459996674,16.1119682341,0.3435240110
2014-07-05,11.8459972967,16.1037476591,0.3443284326
2014-07-06,11.8459972967,16.1036998289,0.3441262215
2014-07-07,11.7894989876,16.0367509541,0.3420942521
2014-07-08,11.7171974737,15.9506409047,0.3419245178
2014-07-09,11.6629996900,15.8964890420,0.3432404355
2014-07-10,11.7006961921,15.9122030953,0.3442914370
2014-07-11,11.6988000375,15.9073919276,0.3422778037
2014-07-12,11.6987976093,15.9190055849,0.3429024038
2014-07-13,11.6987976093,15.9190269066,0.3420728421
2014-07-14,11.7011998844,15.9378995821,0.3410419486
2014-07-15,11.7120978951,15.8958359577,0.3405032338
2014-07-16,11.7229992986,15.8603833384,0.3405245878
2014-07-17,11.7244977518,15.8599389109,0.3341841254
2014-07-18,11.6539970240,15.7493496429,0.3318642305
2014-07-19,11.6539970238,15.7627032540,0.3314646149
2014-07-20,11.6539970238,15.7627032540,0.3313814054
2014-07-21,11.6605024220,15.7686765067,0.3313670269
2014-07-22,11.6749979453,15.7245044378,0.3335953234
2014-07-23,11.6492969824,15.6814248758,0.3346788881
2014-07-24,11.6493091954,15.6902020283,0.3329980396
2014-07-25,11.7574996575,15.7918085397,0.3349335247
2014-07-26,11.7574978446,15.7903543440,0.3346892864
2014-07-27,11.7574978446,15.7903543440,0.3345796583
2014-07-28,11.8632968586,15.9441343225,0.3340905471
2014-07-29,11.9925003052,16.0812275633,0.3367413362
2014-07-30,12.0081005096,16.0646754124,0.3373392894
2014-07-31,12.1021977350,16.2026554326,0.3389997335
2014-08-01,11.9681976265,16.0843295015,0.3345014887
2014-08-02,11.9681976265,16.0750518811,0.3347504876
2014-08-03,11.9681976265,16.0750518811,0.3347504876
2014-08-04,12.1879993653,16.3475685567,0.3404490148
2014-08-05,11.7012004852,15.6376692100,0.3243543747
2014-08-06,11.7012004852,15.6260454208,0.3234872474
2014-08-07,11.7012004852,15.6355308533,0.3217838812
2014-08-08,11.7012004852,15.6938326244,0.3232848895
2014-08-09,11.7012004852,15.6924799707,0.3237137114
2014-08-10,11.7012004852,15.6931209133,0.3237137114
2014-08-11,12.8304996490,17.1735585696,0.3564228613
2014-08-12,13.1439984175,17.5564875406,0.3636826091
2014-08-13,13.1154991765,17.5299961025,0.3636847444
2014-08-14,13.0915002828,17.5097701220,0.3644452966
2014-08-15,13.1353998824,17.5899687044,0.3629472708
2014-08-16,13.1353998184,17.6012861458,0.3635844974
2014-08-17,13.1353998184,17.5981784394,0.3635878670
2014-08-18,13.0783004761,17.4703909808,0.3625187442
2014-08-19,12.9575003795,17.2593165281,0.3583147535
2014-08-20,13.2279996872,17.5721076388,0.3649926442
2014-08-21,13.1176976237,17.4242384142,0.3633702613
2014-08-22,13.3703978590,17.6922621578,0.3702742541
2014-08-23,13.3703978589,17.7064392297,0.3703044565
2014-08-24,13.3703978589,17.7053525051,0.3702263167
2014-08-25,13.3703978590,17.6504985134,0.3697410372
